action,en,name,kind,category,source
added,Nord-Pas de Calais Mining Basin,Nord-Pas de Calais Mining Basin,human,engineering,unesco_full
added,"The Climats, terroirs of Burgundy",Винодельческие земли (клима) Бургундии,human,architecture,unesco_full
added,"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche","Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",human,architecture,unesco_full
added,"Champagne Hillsides, Houses and Cellars","Склоны холмов, винодельческие дома и погреба Шампани",human,architecture,unesco_full
added,Taputapuātea,Taputapuātea,human,architecture,unesco_full
added,The Maison Carrée of Nîmes,Мезон Карре в Ниме,human,architecture,unesco_full
added,Cordouan Lighthouse,Кордуанский маяк,human,architecture,unesco_full
added,"Nice, Winter Resort Town of the Riviera","Ницца, зимний курортный город Ривьеры",human,city,unesco_full
added,Te Henua Enata – The Marquesas Islands,Те Хенуа Эната — Маркизские острова,mixed,mixed_landscape,unesco_full
added,Megaliths of Carnac and of the shores of Morbihan,Мегалиты Карнака и побережья Морбиана,human,architecture,unesco_full
updated,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,Экосистема и реликтовый культурный пейзаж Лопе-Оканда,mixed,mixed_landscape,unesco_full
added,Kunta Kinteh Island and Related Sites,Остров Джеймс-Айленд и связанные с ним достопримечательности,human,architecture,unesco_full
added,Historical Monuments of Mtskheta,Исторические памятники Мцхеты,human,architecture,unesco_full
added,Upper Svaneti,Верхняя Сванетия,human,architecture,unesco_full
added,Gelati Monastery,Gelati Monastery,human,sacred,unesco_full
added,Aachen Cathedral,Кафедральный собор в городе Ахен,human,sacred,unesco_full
added,Speyer Cathedral,Кафедральный собор в городе Шпайер,human,sacred,unesco_full
added,Würzburg Residence with the Court Gardens and Residence Square,Würzburg Residence with the Court Gardens and Residence Square,human,architecture,unesco_full
added,St Mary's Cathedral and St Michael's Church at Hildesheim,Кафедральный собор Cв. Марии и церковь Св. Михаила в городе Хильдесхайм,human,sacred,unesco_full
added,Pilgrimage Church of Wies,Паломническая церковь в деревне Вис,human,sacred,unesco_full
added,Hanseatic City of Lübeck,Ганзейский город Любек,human,city,unesco_full
added,Castles of Augustusburg and Falkenlust at Brühl,Дворец Аугустусбург и охотничий замок Фалькенлуст в городе Брюль,human,architecture,unesco_full
added,Cologne Cathedral,Кафедральный собор в городе Кëльн,human,sacred,unesco_full
added,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier","Древнеримские памятники, кафедральный собор Св. Петра и церковь Богоматери в городе Трир",human,sacred,unesco_full
added,Abbey and Altenmünster of Lorsch,Монастырь и надвратная капелла в городе Лорш,human,sacred,unesco_full
added,Palaces and Parks of Potsdam and Berlin,Дворцы и парки Потсдама и Берлина,human,architecture,unesco_full
added,Garden Kingdom of Dessau-Wörlitz,«Парковое королевство» Дессау-Вёрлиц,human,architecture,unesco_full
added,"Collegiate Church, Castle and Old Town of Quedlinburg","Коллегиатская церковь, замок и Старый город в Кведлинбурге",human,sacred,unesco_full
added,Maulbronn Monastery Complex,Монастырский комплекс Маульбронн,human,sacred,unesco_full
added,"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management System",Шахтерский город Рёрус и его окрестности,human,engineering,unesco_full
added,Town of Bamberg,Город Бамберг,human,city,unesco_full
added,Völklingen Ironworks,Железоделательный завод в городе Фëльклинген,human,architecture,unesco_full
added,"Bauhaus and its Sites in Weimar, Dessau and Bernau","Bauhaus and its Sites in Weimar, Dessau and Bernau",human,architecture,unesco_full
added,Luther Memorials in Eisleben and Wittenberg,Памятные места Лютера в городах Айслебен и Виттенберг,human,architecture,unesco_full
added,Classical Weimar,«Классический Bеймар»,human,architecture,unesco_full
added,"Museumsinsel (Museum Island), Berlin",Музеумсинзель (Музейный остров) в Берлине,human,architecture,unesco_full
added,Wartburg Castle,Замок Вартбург,human,fortress,unesco_full
added,Monastic Island of Reichenau,Монастырский остров Райхенау,human,architecture,unesco_full
added,Zollverein Coal Mine Industrial Complex in Essen,Старая угольная шахта Цольферайн в городе Эссен,human,engineering,unesco_full
added,Upper Middle Rhine Valley,Долина Среднего Рейна,human,architecture,unesco_full
added,Historic Centres of Stralsund and Wismar,Исторические центры городов Штральзунд и Висмар,human,city,unesco_full
added,Town Hall and Roland on the Marketplace of Bremen,Ратуша и статуя Роланда на Рыночной площади в городе Бремен,human,city,unesco_full
added,Old town of Regensburg with Stadtamhof,"Старый город в Регенсбурге, включая район Штадтамхоф",human,city,unesco_full
added,Berlin Modernism Housing Estates,Районы жилой застройки в стиле модерн Берлина,human,architecture,unesco_full
added,Fagus Factory in Alfeld,Фабрика Фагуса в Альфельде,human,engineering,unesco_full
added,Margravial Opera House Bayreuth,Margravial Opera House Bayreuth,human,architecture,unesco_full
added,Bergpark Wilhelmshöhe,Bergpark Wilhelmshöhe,human,architecture,unesco_full
added,Carolingian Westwork and Civitas Corvey,Вестверк эпохи Каролингов и аббатство Корвей,human,architecture,unesco_full
added,Speicherstadt and Kontorhaus District with Chilehaus,"«Дом Чили», кварталы Шпайхерштадт и Конторхаус",human,architecture,unesco_full
added,Naumburg Cathedral,Наумбургский кафедральный собор,human,sacred,unesco_full
added,Caves and Ice Age Art in the Swabian Jura,Caves and Ice Age Art in the Swabian Jura,human,architecture,unesco_full
added,Archaeological Border complex of Hedeby and the Danevirke,Пограничный археологический ландшафт Хедебю и Даневирке,human,architecture,unesco_full
added,Water Management System of Augsburg,Система управления водными ресурсами Аугсбурга,human,engineering,unesco_full
added,Mathildenhöhe Darmstadt,"Матильденхёэ, Дармштадт",human,architecture,unesco_full
added,"ShUM Sites of Speyer, Worms and Mainz","Объекты в городах ШУМ - Шпайере, Вормсе и Майнце",human,architecture,unesco_full
added,Jewish-Medieval Heritage of Erfurt,Еврейское средневековое наследие Эрфурта,human,architecture,unesco_full
added,Schwerin Residence Ensemble,Ансамбль Шверинской резиденции,human,architecture,unesco_full
added,"The Palaces of King Ludwig II of Bavaria: Neuschwanstein, Linderhof, Schachen and Herrenchiemsee","Замки короля Людвига II Баварского: Нойшванштайн, Линдерхоф, Шахен и Херренкимзе — От мечты к реальности",human,architecture,unesco_full
added,"Forts and Castles, Volta, Greater Accra, Central and Western Regions","Форты и замки Вольты, Большой Аккры, Центрального и Западного регионов",human,architecture,unesco_full
added,Asante Traditional Buildings,Традиционные постройки народа ашанти,human,architecture,unesco_full
added,Temple of Apollo Epicurius at Bassae,Храм Аполлона Эпикурейского в Бассах,human,sacred,unesco_full
added,Archaeological Site of Delphi,Археологические памятники Дельф,human,architecture,unesco_full
added,"Acropolis, Athens",Афинский Акрополь,human,architecture,unesco_full
updated,Mount Athos,Духовный центр православия Гора Афон («Святая Гора»),mixed,mixed_landscape,unesco_full
updated,Meteora,Монастыри Метеоры,mixed,mixed_landscape,unesco_full
added,Paleochristian and Byzantine Monuments of Thessalonika,Раннехристианские и византийские памятники в городе Салоники,human,architecture,unesco_full
added,Sanctuary of Asklepios at Epidaurus,Археологические памятники Эпидавра,human,sacred,unesco_full
added,Medieval City of Rhodes,Средневековый город в Родосе,human,city,unesco_full
added,Archaeological Site of Mystras,Древний город Мистра,human,architecture,unesco_full
added,Archaeological Site of Olympia,Археологические памятники Олимпии,human,architecture,unesco_full
added,Delos,Остров Делос,human,architecture,unesco_full
added,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios","Монастыри Дафни, Оссиос-Лукас и Неа-Мони",human,architecture,unesco_full
added,Pythagoreion and Heraion of Samos,Пифагорея и храм Геры на острове Самос,human,architecture,unesco_full
added,Archaeological Site of Aigai (modern name Vergina),Археологические памятники Вергины,human,architecture,unesco_full
added,Archaeological Sites of Mycenae and Tiryns,Археологические памятники Микен и Тиринфа,human,architecture,unesco_full
added,The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Исторический центр (Хора) с монастырем Иоанна Богослова и пещерой Апокалипсиса на острове Патмос,human,sacred,unesco_full
added,Old Town of Corfu,Древний город Корфу,human,city,unesco_full
added,Archaeological Site of Philippi,Археологический комплекс Филиппы,human,architecture,unesco_full
added,Zagori Cultural Landscape,Культурный ландшафт Загори,human,architecture,unesco_full
added,Minoan Palatial Centres,Минойские дворцовые центры,human,city,unesco_full
updated,Tikal National Park,Национальный парк Тикаль,mixed,mixed_landscape,unesco_full
added,Antigua Guatemala,Город Антигуа-Гватемала (Старая Гватемала),human,architecture,unesco_full
added,Archaeological Park and Ruins of Quirigua,Археологический парк и руины Киригуа,human,archaeology,unesco_full
added,National Archaeological Park Tak’alik Ab’aj,Национальный археологический парк Такалик-Абах,human,architecture,unesco_full
added,"National History Park – Citadel, Sans Souci, Ramiers","Национальный исторический парк – Цитадель Ла-Ферьер, дворец Сан-Суси и укрепления Рамьер",human,fortress,unesco_full
added,Vatican City,Ватикан – район Рима,human,sacred,unesco_full
added,Maya Site of Copan,Город индейцев майя Копан,human,architecture,unesco_full
added,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue","Будапешт: берега Дуная, Крепостная гора в Буде и проспект Андрашши",human,fortress,unesco_full
added,Old Village of Hollókő and its Surroundings,Историческое село Холлокё и его окружение,human,city,unesco_full
added,Hortobágy National Park - the <i>Puszta</i>,Национальный парк Хортобадь,human,architecture,unesco_full
added,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Тысячелетний бенедиктинский монастырь в Паннонхальме и его природные окрестности,human,sacred,unesco_full
added,Early Christian Necropolis of Pécs (Sopianae),Раннехристианское захоронение в городе Печ (древнеримская Сопиана),human,archaeology,unesco_full
added,Tokaj Wine Region Historic Cultural Landscape,Исторический культурный ландшафт винодельческого района Токай,human,architecture,unesco_full
added,Þingvellir National Park,Национальный парк Тингвеллир,human,architecture,unesco_full
added,Red Fort Complex,Комплекс «Красный форт»,human,fortress,unesco_full
added,"Humayun's Tomb, Delhi",Мавзолей Хумаюна в Дели,human,archaeology,unesco_full
added,"Qutb Minar and its Monuments, Delhi","Башня Кутб-Минар и окружающие ее археологические памятники, Дели",human,architecture,unesco_full
added,Churches and Convents of Goa,Церкви и монастыри в Гоа,human,architecture,unesco_full
added,Group of Monuments at Pattadakal,Памятники Паттадакала,human,architecture,unesco_full
added,Khajuraho Group of Monuments,Памятники Кхаджурахо,human,architecture,unesco_full
added,Group of Monuments at Hampi,Памятники Хампи,human,architecture,unesco_full
added,Ajanta Caves,Пещерные храмы в Аджанте,human,architecture,unesco_full
updated,Ellora Caves,Пещерные храмы в Эллоре,human,architecture,unesco_full
added,Elephanta Caves,Пещерные храмы на острове Элефанта,human,architecture,unesco_full
added,"Sun Temple, Konârak",Храм Солнца в Конараке,human,sacred,unesco_full
added,Hill Forts of Rajasthan,Hill Forts of Rajasthan,human,architecture,unesco_full
added,Group of Monuments at Mahabalipuram,Памятники Махабалипурама,human,architecture,unesco_full
added,Great Living Chola Temples,Великие храмы империи Чола,human,architecture,unesco_full
added,Agra Fort,Форт в городе Агра,human,fortress,unesco_full
added,Taj Mahal,Мавзолей Тадж-Махал (город Агра),human,architecture,unesco_full
added,Fatehpur Sikri,Древний город Фатехпур-Сикри,human,architecture,unesco_full
added,Buddhist Monuments at Sanchi,Буддийские памятники в Санчи,human,architecture,unesco_full
added,"Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat","Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat",human,architecture,unesco_full
added,Rock Shelters of Bhimbetka,Скальные жилища Бхимбетка,human,architecture,unesco_full
added,Mountain Railways of India,Горные железные дороги Индии,human,architecture,unesco_full
added,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),"Вокзал Чхатрапати-Шиваджи, бывший Виктория-Терминус (город Мумбаи)",human,architecture,unesco_full
added,Mahabodhi Temple Complex at Bodh Gaya,Храмовый комплекс Махабодхи в Бодх-Гайя,human,sacred,unesco_full
added,Champaner-Pavagadh Archaeological Park,Археологический парк Чампанер-Павагадх,human,architecture,unesco_full
added,"The Jantar Mantar, Jaipur",Джантар Мантар,human,architecture,unesco_full
added,Santiniketan,Шантиникетан,human,architecture,unesco_full
added,Victorian Gothic and Art Deco Ensembles of Mumbai,"Комплексы в стиле викторианской готики и арт-деко в Мумбае, Индия",human,architecture,unesco_full
added,"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",Археологический объект Наланда Махавихара (университет Наланда) в Наланде,human,architecture,unesco_full
updated,Khangchendzonga National Park,Национальный парк Канченджанга,mixed,mixed_landscape,unesco_full
added,Historic City of Ahmadabad,Historic City of Ahmadabad,human,city,unesco_full
added,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana","Храм Какатия - Рудрешвара (Рамаппа), штат Телангана",human,sacred,unesco_full
added,"Jaipur City, Rajasthan","Jaipur City, Rajasthan",human,city,unesco_full
added,Dholavira: a Harappan City,Дхолавира: хараппский город,human,city,unesco_full
added,Sacred Ensembles of the Hoysalas,Священные ансамбли Хойсалы,human,sacred,unesco_full
added,Moidams – the Mound-Burial System of the Ahom Dynasty,Мойдамы — система курганов династии Ахом,human,archaeology,unesco_full
added,Maratha Military Landscapes of India,Военные ландшафты маратхов в Индии,human,fortress,unesco_full
added,Borobudur Temple Compounds,Храмовый комплекс Борободур,human,sacred,unesco_full
added,Sangiran Early Man Site,Стоянка древнего человека в Сангриане,human,architecture,unesco_full
added,Prambanan Temple Compounds,Храмовый комплекс Прамбанан,human,sacred,unesco_full
added,Cultural Landscape of Bali Province: the <em>Subak</em> System as a Manifestation of the <em>Tri Hita Karana</em> Philosophy,Cultural Landscape of Bali Province: the <em>Subak</em> System as a Manifestation of the <em>Tri Hita Karana</em> Philosophy,human,architecture,unesco_full
added,Ombilin Coal Mining Heritage of Sawahlunto,Наследие добычи угля Омбилин в Савалунто,human,engineering,unesco_full
added,The Cosmological Axis of Yogyakarta and its Historic Landmarks,Космологическая ось Джокьякарты и ее исторические достопримечательности,human,architecture,unesco_full
added,Tchogha Zanbil,Древний город Чога-Занбиль,human,architecture,unesco_full
added,Persepolis,Древний город Персеполь,human,architecture,unesco_full
added,"Meidan Emam, Esfahan",Площадь Мейдан-Имам в городе Исфахан,human,architecture,unesco_full
added,Takht-e Soleyman,Древний город Техте-Солейман,human,architecture,unesco_full
added,Pasargadae,Древний город Пасаргады,human,architecture,unesco_full
added,Soltaniyeh,Мавзолей Солтание (провинция Зинджан),human,architecture,unesco_full
added,Bam and its Cultural Landscape,Город Бам и его культурные ландшафты,human,architecture,unesco_full
added,Bisotun,Археологический объект Бисотун,human,architecture,unesco_full
added,Armenian Monastic Ensembles of Iran,Армянские монастырские комплексы Ирана,human,architecture,unesco_full
added,Shushtar Historical Hydraulic System,Shushtar Historical Hydraulic System,human,engineering,unesco_full
added,Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,Ханега и святилища шейха Сафи аль-Дин в Ардабиле,human,sacred,unesco_full
added,Tabriz Historic Bazaar Complex,Сооружения исторического базара в Табризе,human,architecture,unesco_full
added,The Persian Garden,Персидский сад,human,architecture,unesco_full
added,Masjed-e Jāmé of Isfahan,Masjed-e Jāmé of Isfahan,human,architecture,unesco_full
added,Gonbad-e Qābus,Gonbad-e Qābus,human,architecture,unesco_full
added,Golestan Palace,Golestan Palace,human,fortress,unesco_full
added,Cultural Landscape of Maymand,Культурный ландшафт Мейманда,human,architecture,unesco_full
added,Susa,Сузы,human,architecture,unesco_full
added,Shahr-i Sokhta,Shahr-i Sokhta,human,architecture,unesco_full
added,The Persian Qanat,Персидский кяриз,human,architecture,unesco_full
added,Historic City of Yazd,Historic City of Yazd,human,city,unesco_full
added,Sassanid Archaeological Landscape of Fars Region,Сасанидский археологический ландшафт в провинции Фарс,human,architecture,unesco_full
added,Trans-Iranian Railway,Транс-иранская железная дорога,human,engineering,unesco_full
added,Cultural Landscape of Hawraman/Uramanat,Культурный ландшафт Хавраман / Ураманат,human,architecture,unesco_full
added,The Persian Caravanserai,Персидский Караван-сарай,human,architecture,unesco_full
added,Hegmataneh,Хегматане,human,architecture,unesco_full
added,Prehistoric Sites of the Khorramabad Valley,Доисторические памятники долины Хорремабад,human,archaeology,unesco_full
added,Samarra Archaeological City,Археологический памятник Самарра,human,city,unesco_full
added,Hatra,Древний город Хатра,human,architecture,unesco_full
added,Babylon,Вавилон,human,architecture,unesco_full
added,Ashur (Qal'at Sherqat),Древний город Ашшур (Калат-Шергат),human,architecture,unesco_full
added,Erbil Citadel,Цитадель Эрбиль,human,fortress,unesco_full
updated,The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,Месопотамские болота на юге Ирака: центр биоразнообразия и реликтовые ландшафты городов Месопотамии,mixed,mixed_landscape,unesco_full
added,Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,Археологические находки в долине реки Бойн,human,architecture,unesco_full
updated,Sceilg Mhichíl,Монастырь на острове Скеллиг-Майкл,human,architecture,unesco_full
updated,Masada,Древняя крепость Масада,human,architecture,unesco_full
added,Old City of Acre,Старый город в Акре (Акко),human,city,unesco_full
added,White City of Tel-Aviv – the Modern Movement,Белый город в Тель-Авиве – архитектура «Современного движения»,human,city,unesco_full
added,Incense Route - Desert Cities in the Negev,«Дорога ладана» – города в пустыне Негев,human,architecture,unesco_full
added,"Biblical Tels - Megiddo, Hazor, Beer Sheba","Библейские холмы – Мегиддо, Хацор, Беэр-Шева",human,architecture,unesco_full
added,Bahá’i Holy Places in Haifa and the Western Galilee,Святые места Бахаи в Хайфе и на западе Галилеи,human,architecture,unesco_full
added,Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Пещеры Мареши и Бейт Гуврина в Иудейской долине как микрокосм Земли пещер,human,architecture,unesco_full
added,Sites of Human Evolution at Mount Carmel: The Nahal Me’arot / Wadi el-Mughara Caves,"Находки на горе Кармель, отражающие эволюционное развитие человека: пещеры Нахаль Меарот и Вади эль-Мугара",human,architecture,unesco_full
added,Necropolis of Bet She’arim: A Landmark of Jewish Renewal,Некрополь Бейт Шеарим - символ еврейского возрождения,human,archaeology,unesco_full
added,Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,Церковь и доминиканский монастырь Санта-Мария-делла-Грацие c фреской Леонардо да Винчи,human,sacred,unesco_full
added,Rock Drawings in Valcamonica,Наскальная живопись в Валь-Камонике,human,architecture,unesco_full
added,Historic Centre of Florence,Исторический центр Флоренции,human,city,unesco_full
added,Medici Villas and Gardens in Tuscany,Medici Villas and Gardens in Tuscany,human,architecture,unesco_full
added,Venice and its Lagoon,Венеция и ее лагуна,human,architecture,unesco_full
added,"Piazza del Duomo, Pisa",Соборный комплекс в городе Пиза,human,architecture,unesco_full
added,Castel del Monte,Замок Кастель-дель-Монте,human,architecture,unesco_full
added,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex","Королевский дворец XVIII в. с парком в Казерте, акведук Ванвителли и фабричный поселок Сан-Леучо",human,engineering,unesco_full
added,Historic Centre of San Gimignano,Исторический центр города Сан-Джиминьяно,human,city,unesco_full
added,The Sassi and the Park of the Rupestrian Churches of Matera,«И-Сасси-ди-Матера» - старые районы города Матера,human,architecture,unesco_full
added,City of Vicenza and the Palladian Villas of the Veneto,Город Виченца и вилла архитектора Палладио в области Венето,human,city,unesco_full
added,Historic Centre of Siena,Исторический центр города Сиена,human,city,unesco_full
added,Historic Centre of Naples,Исторический центр Неаполя,human,city,unesco_full
added,Crespi d'Adda,Фабричный поселок Креспи-д`Адда,human,architecture,unesco_full
added,"Ferrara, City of the Renaissance, and its Po Delta",Город эпохи Возрождения Феррара и дельта реки По,human,city,unesco_full
added,The <I>Trulli</I> of Alberobello,«Трулли» – традиционные жилища в городе Альберобелло,human,architecture,unesco_full
added,Early Christian Monuments of Ravenna,Раннехристианские памятники в городе Равенна,human,architecture,unesco_full
added,Historic Centre of the City of Pienza,Исторический центр города Пьенца,human,city,unesco_full
added,City of Verona,Город Верона,human,city,unesco_full
added,Residences of the Royal House of Savoy,Резиденции королевского Савойского дома (Турин и окрестности),human,architecture,unesco_full
added,"Botanical Garden (Orto Botanico), Padua",Ботанический сад (Орто Ботанико) в городе Падуя,human,architecture,unesco_full
added,Archaeological Area and the Patriarchal Basilica of Aquileia,Археологические памятники и патриаршая базилика в Аквилее,human,sacred,unesco_full
added,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)","Город Портовенере, культурный ландшафт Чинкве-Терре, острова Пальмария, Тино и Тинетто",human,architecture,unesco_full
added,"Cathedral, Torre Civica and Piazza Grande, Modena","Кафедральный собор, башня Торре-Чивика и площадь Пьяцца-Гранде в городе Модена",human,sacred,unesco_full
added,Historic Centre of Urbino,Исторический центр города Урбино,human,city,unesco_full
added,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","Археологические зоны - Помпеи, Геркуланум и Торре-Аннунциата",human,architecture,unesco_full
updated,Costiera Amalfitana,Костьера-Амальфиана – Амальфийское побережье,human,architecture,unesco_full
added,Archaeological Area of Agrigento,Археологические памятники в городе Агридженто,human,architecture,unesco_full
added,Villa Romana del Casale,Древнеримская вилла Дель-Казале (остров Сицилия),human,architecture,unesco_full
added,Su Nuraxi di Barumini,«Су-Нуракси» - древние укрепления в Барумини (остров Сардиния),human,architecture,unesco_full
added,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula","Культурный ландшафт района Чиленто, национальный парк Валло-ди-Диано, археологические памятники Пестума и Веллы, монастырь Чертоза-ди-Падула",human,architecture,unesco_full
added,Villa Adriana (Tivoli),Вилла Адриана в Тиволи,human,architecture,unesco_full
added,"Assisi, the Basilica of San Francesco and Other Franciscan Sites",Базилика Св. Франциска и другие францисканские памятники в городе Ассизи,human,sacred,unesco_full
added,Late Baroque Towns of the Val di Noto (South-Eastern Sicily),"Города позднего барокко в районе Валь-ди-Ното, юго-восток острова Сицилия",human,architecture,unesco_full
added,"Villa d'Este, Tivoli",Вилла д`Эсте в Тиволи,human,architecture,unesco_full
updated,Val d'Orcia,Культурный ландшафт Валь-д`Орча (область Тоскана),human,architecture,unesco_full
added,<I>Sacri Monti</I> of Piedmont and Lombardy,Ансамбли Сакри-Монти (Святые горы) в Пьемонте и Ломбардии,human,architecture,unesco_full
added,Etruscan Necropolises of Cerveteri and Tarquinia,Этрусские некрополи близ Черветери и Тарквинии,human,architecture,unesco_full
added,Syracuse and the Rocky Necropolis of Pantalica,Древний город Сиракузы и скальный некрополь Панталика,human,archaeology,unesco_full
added,Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,Улица Ле-Страде-Нуове и комплекс дворцов Палацци-деи-Ролли в Генуе,human,architecture,unesco_full
added,Mantua and Sabbioneta,Мантуя и Саббионета,human,architecture,unesco_full
added,Longobards in Italy. Places of the Power (568-774 A.D.),"Лангобарды в Италии, сосредоточия власти, 568 -774 н.э.",human,architecture,unesco_full
added,Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,human,architecture,unesco_full
added,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,Арабо-норманнское наследие Палермо и кафедральные соборы в Чефалу и Монреале,human,sacred,unesco_full
added,"Ivrea, industrial city of the 20th century","Ивреа, промышленный город XX века",human,engineering,unesco_full
added,Le Colline del Prosecco di Conegliano e Valdobbiadene,Холмы Просекко в Конельяно и Вальдоббьядене,human,architecture,unesco_full
added,Padua’s fourteenth-century fresco cycles,Циклы фресок XIV века в Падуе,human,architecture,unesco_full
added,The Porticoes of Bologna,Портики Болоньи,human,architecture,unesco_full
added,Via Appia. <em>Regina Viarum</em>,Аппиева дорога. Реджина Виарум,human,architecture,unesco_full
added,Funerary Tradition in the Prehistory of Sardinia – <em>The domus de janas</em>,Погребальная традиция в доисторической Сардинии — Домус-де-Янас,human,architecture,unesco_full
updated,Blue and John Crow Mountains,Голубые горы и горы Джона Кроу,mixed,mixed_landscape,unesco_full
added,The Archaeological Ensemble of 17th Century Port Royal,Археологический ландшафт Порт-Ройала XVII века,human,architecture,unesco_full
added,Buddhist Monuments in the Horyu-ji Area,Буддийские памятники в местности Хорюдзи,human,architecture,unesco_full
added,Himeji-jo,Замок Химедзи,human,architecture,unesco_full
added,"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",Исторические памятники старой части Киото и в городах Удзи и Оцу,human,archaeology,unesco_full
added,Historic Villages of Shirakawa-go and Gokayama,Исторические села Сиракава-го и Гокаяма,human,city,unesco_full
added,Hiroshima Peace Memorial (Genbaku Dome),Мемориал Мира в Хиросиме (купол Генбаку),human,monument,unesco_full
added,Itsukushima Shinto Shrine,Синтоистское святилище Ицукусима,human,sacred,unesco_full
added,Historic Monuments of Ancient Nara,Памятники исторической части города Нара,human,archaeology,unesco_full
added,Shrines and Temples of Nikko,Святилища и храмы Никко,human,architecture,unesco_full
added,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,Замки «гусуку» и связанные с ними памятники древнего царства на островах Рюкю,human,architecture,unesco_full
added,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Священные места и дороги паломников в горах Кии,human,sacred,unesco_full
added,Iwami Ginzan Silver Mine and its Cultural Landscape,Серебряные копи Ивами Гинзан,human,engineering,unesco_full
added,"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land","Хираизуми – Храмы, сады и археологические памятники, изображающие буддистскую Чистую Землю",human,architecture,unesco_full
updated,"Fujisan, sacred place and source of artistic inspiration","Fujisan, sacred place and source of artistic inspiration",human,sacred,unesco_full
added,Tomioka Silk Mill and Related Sites,Фабрика по производству шелка в городе Томиока и сопутствующие объекты,human,engineering,unesco_full
added,"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining","Памятники промышленной революции эпохи Мэйдзи: заводы, верфи и угольные шахты",human,engineering,unesco_full
added,Hidden Christian Sites in the Nagasaki Region,Скрытые христианские объекты в регионе Нагасаки,human,architecture,unesco_full
added,Sacred Island of Okinoshima and Associated Sites in the Munakata Region,Sacred Island of Okinoshima and Associated Sites in the Munakata Region,human,sacred,unesco_full
added,Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,Группа курганов Модзу-Фуруити Кофунгун: гробницы древней Японии,human,archaeology,unesco_full
added,Jomon Prehistoric Sites in Northern Japan,Доисторические памятники Дзёмон на севере Японии,human,archaeology,unesco_full
added,Sado Island Gold Mines,Золотые прииски на острове Садо,human,architecture,unesco_full
added,Old City of Jerusalem and its Walls,Старый город в Иерусалиме и его крепостные стены (объект предложен Иорданией),human,city,unesco_full
added,Petra,Древний город Петра,human,archaeology,unesco_full
added,Quseir Amra,Древняя резиденция халифов Кусейр-Амра,human,architecture,unesco_full
added,As-Salt - The Place of Tolerance and Urban Hospitality,Ас-Сальт - место терпимости и городского гостеприимства,human,city,unesco_full
added,Um er-Rasas (Kastrom Mefa'a),Археологические находки в Ум-эр-Расас (Кастрон-Мефъа),human,architecture,unesco_full
added,Wadi Rum Protected Area,Охраняемый район Вади Рам,mixed,mixed_landscape,unesco_full
added,Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),"Вифавара, место крещения Иисуса Христа",human,architecture,unesco_full
added,Umm Al-Jimāl,Умм аль-Джималь,human,architecture,unesco_full
added,Mausoleum of Khoja Ahmed Yasawi,Мавзолей Ходжи Ахмеда Яссави (город Туркестан),human,monument,unesco_full
added,Petroglyphs of the Archaeological Landscape of Tanbaly,Петроглифы археологического ландшафта Танбалы,human,architecture,unesco_full
added,Lamu Old Town,Старый город в Ламу,human,city,unesco_full
